2019-07-06 01:40:47,739 INFO  DownloadService - Downloading "https://github.com/miguelbcr/RxGpsService/archive/master.zip", attempt 3
2019-07-06 01:40:49,796 INFO  DownloadService - Downloaded https://github.com/miguelbcr/RxGpsService/archive/master.zip, attempt 3
2019-07-06 01:40:49,796 INFO  DownloadService - Size of file "/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/master.zip": 147 KB
2019-07-06 01:40:49,796 INFO  ArchiveUtils - Checking entries [.gradle] in ZIP file...
2019-07-06 01:40:49,802 INFO  ArchiveUtils - Has entries [.gradle] in ZIP file /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/master.zip: true
2019-07-06 01:40:49,802 DEBUG ZipUtil - Extracting '/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/master.zip' into '/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src'.
2019-07-06 01:40:49,826 INFO  FullProcessService - Size of directory with sources: 219 KB
2019-07-06 01:40:49,826 INFO  SysUtils - Execute command: [git, init, /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src]
2019-07-06 01:40:49,846 INFO  SysUtils - Initialized empty Git repository in /private/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/.git/

2019-07-06 01:40:49,849 INFO  ProjectBuildService - Gradle wrapper(s): /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/gradlew
2019-07-06 01:40:49,852 INFO  ProjectBuildService - Build script(s): /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/app/build.gradle /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/lib/build.gradle /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/build.gradle
2019-07-06 01:40:49,854 INFO  ProjectBuildService - All script(s): /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/app/build.gradle /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/build.gradle /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/lib/build.gradle /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/settings.gradle
2019-07-06 01:40:49,854 INFO  ProjectBuildService - Remote scripts: none
2019-07-06 01:40:49,854 INFO  ProjectFixService - Fixing project...
2019-07-06 01:40:49,861 INFO  LocalPropertiesFixService - Created fake /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/app/local.properties
2019-07-06 01:40:49,861 INFO  ProjectFixService - Build info for "/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/app/build.gradle": [buildToolsVersion=24.0.1,compileSdkVersion=24,minSdkVersion=10,targetSdkVersion=24]
2019-07-06 01:40:49,861 INFO  LocalPropertiesFixService - Created fake /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/lib/local.properties
2019-07-06 01:40:49,861 INFO  ProjectFixService - Build info for "/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/lib/build.gradle": [buildToolsVersion=24.0.1,compileSdkVersion=24,minSdkVersion=10,targetSdkVersion=24]
2019-07-06 01:40:49,862 INFO  LocalPropertiesFixService - Created fake /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/local.properties
2019-07-06 01:40:49,862 INFO  WrapperPropertiesFixService - Gradle wrapper: https://services.gradle.org/distributions/gradle-2.14.1-all.zip
2019-07-06 01:40:49,862 INFO  WrapperPropertiesFixService - Gradle wrapper was changed from "-all.zip" to "-bin.zip" (https://services.gradle.org/distributions/gradle-2.14.1-bin.zip)
2019-07-06 01:40:49,863 INFO  ProjectFixService - Build info for "/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/build.gradle": [buildToolsVersion=24.0.1,compileSdkVersion=24,minSdkVersion=10,targetSdkVersion=24]
2019-07-06 01:40:49,863 INFO  ProjectFixService - Project was maybe fixed
2019-07-06 01:40:49,863 INFO  ProjectTaskService - Detecting possible tasks...
2019-07-06 01:40:49,863 INFO  SysUtils - Execute command: [/var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/gradlew, -b, /var/folders/bq/vtzpc5ns5sg2cthy61lqpg3dfzgbys/T/1562352047731-0/src/RxGpsService-master/app/build.gradle, -Dorg.gradle.daemon=false, -Dorg.gradle.daemon.performance.enable-monitoring=false, -Dorg.gradle.configureondemand=true, tasks]
